iteration,best_score,current_score
0,0.7075111430498634,0.7075111430498634
1,0.7189056518482396,0.7189056518482396
2,0.7189056518482396,0.7131490598521855
3,0.7189056518482396,0.715031226981425
4,0.7189056518482396,0.7030343061359562
5,0.7189056518482396,0.6868529308425476
6,0.7189056518482396,0.6676420534557386
7,0.7189056518482396,0.6676420534557386
8,0.7189056518482396,0.6622605500699672
9,0.7189056518482396,0.661044830762978
10,0.7189056518482396,0.6616822935495956
11,0.7189056518482396,0.6616822935495956
12,0.7189056518482396,0.662082208099458
13,0.7189056518482396,0.662082208099458
14,0.7189056518482396,0.6602071702713768
15,0.7189056518482396,0.6613204800507098
16,0.7189056518482396,0.6560987253020756
17,0.7189056518482396,0.6583467633230463
18,0.7189056518482396,0.6500709027189381
19,0.7189056518482396,0.6498785921926832
20,0.7189056518482396,0.6505046258586183
21,0.7189056518482396,0.6490516118442299
22,0.7189056518482396,0.6508695309318441
23,0.7189056518482396,0.6532234688922475
24,0.7189056518482396,0.670980834981786
25,0.7189056518482396,0.668954539421623
26,0.7189056518482396,0.6669904486457666
27,0.7189056518482396,0.6669904486457666
28,0.7189056518482396,0.6742350538755432
29,0.7189056518482396,0.6823998640600414
30,0.7189056518482396,0.6867896142209594
31,0.7189056518482396,0.6815072060978129
32,0.7189056518482396,0.684164742578381
33,0.7189056518482396,0.6828360539963719
34,0.7189056518482396,0.6828360539963719
35,0.7189056518482396,0.6824717267431536
36,0.7189056518482396,0.6922981284634132
37,0.7189056518482396,0.6832971699169827
38,0.7189056518482396,0.6707082271400302
39,0.7189056518482396,0.684802749860742
40,0.7189056518482396,0.6768082203775775
41,0.7189056518482396,0.6695035928171033
42,0.7189056518482396,0.6694596414867434
43,0.7189056518482396,0.6677444895584151
44,0.7189056518482396,0.6679820357768226
45,0.7189056518482396,0.6755073179071969
46,0.7189056518482396,0.681457911772426
47,0.7189056518482396,0.6784728400978232
48,0.7189056518482396,0.6784728400978232
49,0.7189056518482396,0.6707414020979962
50,0.7189056518482396,0.6707398476104148
51,0.7189056518482396,0.6886702491919843
52,0.7189056518482396,0.6887200948785944
53,0.7189056518482396,0.689114396099077
54,0.7189056518482396,0.695973573253725
55,0.7189056518482396,0.7003432298869354
56,0.7189056518482396,0.7003432298869354
57,0.7189056518482396,0.6976185393718348
58,0.7189056518482396,0.6809670510103599
59,0.7189056518482396,0.6799673252950172
60,0.7189056518482396,0.6783615537887978
61,0.7189056518482396,0.6636700673321444
62,0.7189056518482396,0.6751701376674324
63,0.7189056518482396,0.6751719458788547
64,0.7189056518482396,0.6751719458788547
65,0.7189056518482396,0.6826183177414146
66,0.7189056518482396,0.6918825441498638
67,0.7189056518482396,0.6951845328959768
68,0.7189056518482396,0.701804120073902
69,0.7189056518482396,0.703057024877788
70,0.7189056518482396,0.704908206539487
71,0.7189056518482396,0.7009189416351523
72,0.7189056518482396,0.6983179538957168
73,0.7189056518482396,0.69898704114417
74,0.7189056518482396,0.7040103348062362
75,0.7189056518482396,0.7025265444994886
76,0.7189056518482396,0.7025265444994886
77,0.7189056518482396,0.6885246213794322
78,0.7189056518482396,0.6894187314914763
79,0.7189056518482396,0.6894187314914763
80,0.7189056518482396,0.6800516290539684
81,0.7189056518482396,0.6970867555472989
82,0.7189056518482396,0.6937734639966563
83,0.7189056518482396,0.7113437349439793
84,0.7189056518482396,0.7113437349439793
85,0.7210028716501805,0.7210028716501805
86,0.7333357576601368,0.7333357576601368
87,0.7363201748927243,0.7363201748927243
88,0.7363201748927243,0.7332510366713332
89,0.7363201748927243,0.7333170779476624
90,0.7363201748927243,0.7303794631575066
91,0.7363201748927243,0.7170850625551268
92,0.7363201748927243,0.7258120761875285
93,0.7363201748927243,0.7070750391364226
94,0.7363201748927243,0.7119942728776061
95,0.7363201748927243,0.712509722763501
96,0.7363201748927243,0.7113325860036955
97,0.7363201748927243,0.7161396307667717
98,0.7363201748927243,0.7223243862070171
99,0.7363201748927243,0.7142141133807083
100,0.7363201748927243,0.7188888962039415
101,0.7363201748927243,0.7087353743529345
102,0.7363201748927243,0.7019313005825029
103,0.7363201748927243,0.6997135167068825
104,0.7363201748927243,0.7145254949975174
105,0.7363201748927243,0.7027124627219303
106,0.7363201748927243,0.7001696299598104
107,0.7363201748927243,0.7055320794722675
108,0.7363201748927243,0.7007299416472106
109,0.7363201748927243,0.6973496044466984
110,0.7363201748927243,0.6955455575271974
111,0.7363201748927243,0.7117512376630055
112,0.7363201748927243,0.7173126958979229
113,0.7363201748927243,0.716001935299698
114,0.7363201748927243,0.7188532224607111
115,0.7363201748927243,0.7180256034077559
116,0.7363201748927243,0.7128625238009259
117,0.7363201748927243,0.7133555349058922
118,0.7363201748927243,0.7175559874120696
119,0.7363201748927243,0.7144321314543559
120,0.7363201748927243,0.7191179921112465
121,0.7363201748927243,0.7141190871703792
122,0.7363201748927243,0.7161059326959195
123,0.7363201748927243,0.7189243423154728
124,0.7363201748927243,0.7216798322205712
125,0.7363201748927243,0.7066351134854847
126,0.7363201748927243,0.7020336202921935
127,0.7363201748927243,0.7045789871311647
128,0.7363201748927243,0.6998434943144088
129,0.7363201748927243,0.7041500284913832
130,0.7363201748927243,0.7046446636111495
131,0.7363201748927243,0.7070449787315078
132,0.7363201748927243,0.712587095020377
133,0.7363201748927243,0.7082631313970121
134,0.7363201748927243,0.7082631313970121
135,0.7363201748927243,0.7088588942383417
136,0.7363201748927243,0.7105456126914373
137,0.7363201748927243,0.7166158814246377
138,0.7363201748927243,0.7143667106402177
139,0.7363201748927243,0.7135157749260043
140,0.7363201748927243,0.7263189184890833
141,0.7429453776089561,0.7429453776089561
142,0.7429453776089561,0.7405763862185203
143,0.7429453776089561,0.7385646663004403
144,0.7580936292686999,0.7580936292686999
145,0.7580936292686999,0.7543524317840336
146,0.7580936292686999,0.7442783059957462
147,0.7580936292686999,0.7419257183394952
148,0.7580936292686999,0.7425098726390726
149,0.7580936292686999,0.7423872405877072
150,0.7580936292686999,0.74173648701671
151,0.7580936292686999,0.7415209861975391
152,0.7580936292686999,0.7372378210142025
153,0.7580936292686999,0.7376062435725664
154,0.7580936292686999,0.7465406426173755
155,0.7580936292686999,0.7465406426173755
156,0.7580936292686999,0.7481095643646107
157,0.7580936292686999,0.7419362878741964
158,0.7580936292686999,0.7460359093628972
159,0.7580936292686999,0.7506656401545219
160,0.7580936292686999,0.7549251034616842
161,0.7580936292686999,0.756601614177538
162,0.7580936292686999,0.754221672888982
163,0.7580936292686999,0.7533643710697298
