iteration,best_score,current_best_score
0,0.7722785095233339,0.7722785095233339
1,0.7722785095233339,0.7722785095233339
2,0.7722785095233339,0.7722785095233339
3,0.7858971081648948,0.7858971081648948
4,0.8089741465381669,0.8089741465381669
5,0.8169007771856929,0.8169007771856929
6,0.8169007771856929,0.8169007771856929
7,0.8214823814310307,0.8214823814310307
8,0.8214823814310307,0.8214823814310307
9,0.8214823814310307,0.8214823814310307
10,0.8258885808609006,0.8258885808609006
11,0.8258885808609006,0.8258885808609006
12,0.8286538341300709,0.8286538341300709
13,0.8331717176248197,0.8331717176248197
14,0.8331717176248197,0.8331717176248197
15,0.8331717176248197,0.8331717176248197
16,0.8331717176248197,0.8331717176248197
17,0.8422501349941341,0.8422501349941341
18,0.8431396322481917,0.8431396322481917
19,0.8431396322481917,0.8431396322481917
20,0.8431396322481917,0.8431396322481917
21,0.8515933348395275,0.8515933348395275
22,0.8524733794845312,0.8524733794845312
23,0.8524733794845312,0.8524733794845312
24,0.8524733794845312,0.8524733794845312
25,0.8557785239699925,0.8557785239699925
26,0.8557785239699925,0.8557785239699925
27,0.8597615622823422,0.8597615622823422
28,0.8597615622823422,0.8597615622823422
29,0.8597615622823422,0.8597615622823422
30,0.8597615622823422,0.8597615622823422
31,0.8598877147294175,0.8598877147294175
32,0.8651359182548688,0.8651359182548688
33,0.8651359182548688,0.8651359182548688
34,0.8673951368584657,0.8673951368584657
35,0.8673951368584657,0.8673951368584657
36,0.871034673383169,0.871034673383169
37,0.871034673383169,0.871034673383169
38,0.871034673383169,0.871034673383169
39,0.871034673383169,0.871034673383169
40,0.871034673383169,0.871034673383169
41,0.871034673383169,0.871034673383169
42,0.871651920477199,0.871651920477199
43,0.8761263110293869,0.8761263110293869
44,0.8761263110293869,0.8761263110293869
45,0.8761263110293869,0.8761263110293869
46,0.8761263110293869,0.8761263110293869
47,0.8761263110293869,0.8761263110293869
48,0.8761263110293869,0.8761263110293869
49,0.8762257170833004,0.8762257170833004
50,0.8762257170833004,0.8762257170833004
51,0.8762257170833004,0.8762257170833004
52,0.8762257170833004,0.8762257170833004
53,0.8762257170833004,0.8762257170833004
54,0.8762257170833004,0.8762257170833004
55,0.8814427226810354,0.8814427226810354
56,0.8814427226810354,0.8814427226810354
57,0.8814427226810354,0.8814427226810354
58,0.8814427226810354,0.8814427226810354
59,0.8814427226810354,0.8814427226810354
60,0.8814427226810354,0.8814427226810354
61,0.8814427226810354,0.8814427226810354
62,0.8823850826651403,0.8823850826651403
63,0.8823850826651403,0.8823850826651403
64,0.8823850826651403,0.8823850826651403
65,0.8823850826651403,0.8823850826651403
66,0.8823850826651403,0.8823850826651403
67,0.8823850826651403,0.8823850826651403
68,0.8823850826651403,0.8823850826651403
69,0.8823850826651403,0.8823850826651403
70,0.8823850826651403,0.8823850826651403
71,0.8864283793791169,0.8864283793791169
72,0.8864283793791169,0.8864283793791169
73,0.8864283793791169,0.8864283793791169
74,0.8864283793791169,0.8864283793791169
75,0.8864283793791169,0.8864283793791169
76,0.8864283793791169,0.8864283793791169
77,0.8895470151374711,0.8895470151374711
78,0.8895470151374711,0.8895470151374711
79,0.8895470151374711,0.8895470151374711
80,0.8895470151374711,0.8895470151374711
81,0.8895470151374711,0.8895470151374711
82,0.8895470151374711,0.8895470151374711
83,0.8895470151374711,0.8895470151374711
84,0.8895470151374711,0.8895470151374711
85,0.8932687652886175,0.8932687652886175
86,0.8932687652886175,0.8932687652886175
87,0.8932687652886175,0.8932687652886175
88,0.8932687652886175,0.8932687652886175
89,0.9076568617954195,0.9076568617954195
90,0.9076568617954195,0.9076568617954195
91,0.9133214841660716,0.9133214841660716
92,0.9133214841660716,0.9133214841660716
93,0.9133214841660716,0.9133214841660716
94,0.9133214841660716,0.9133214841660716
95,0.9133214841660716,0.9133214841660716
96,0.9133214841660716,0.9133214841660716
97,0.9133214841660716,0.9133214841660716
