method,n_runs,mean_score,std_score,min_score,max_score,median_score,mean_runtime,mean_budget_usage,mean_appeal,mean_diversity,mean_flow,mean_conflict,mean_budget_penalty,mean_duplicate_penalty,mean_headliner_penalty,score_q025,score_q975
greedy_appeal_baseline,1,-18.492746076993523,,-18.492746076993523,-18.492746076993523,-18.492746076993523,0.012232542037963867,1.0438828571428571,0.7414433691398332,0.711539117114417,0.7880644706637373,0.9439931045827884,0.04388285714285714,0.0,0.625,-18.492746076993523,-18.492746076993523
random_baseline,10,-19.767737551966157,9.8318633372946,-29.295046260680248,0.6917425675772931,-19.267368301230228,0.005525445938110352,0.9518892857142858,0.690086629422113,0.8762383110259963,0.7639536497025994,0.8958426678490827,0.0,0.0,0.6833333333333333,-29.290760101105537,-2.6674825012114045
simulated_annealing,10,0.8805074931256437,0.019111870874238112,0.8474389566098188,0.9058878222188953,0.8781672177360583,5.1464612007141115,0.9665014285714285,0.6897794281139558,0.997335417031939,0.8104699679377297,0.7522451536373442,0.0,0.0,0.0,0.8505439186517605,0.9056376250057951
