method,seed,best_score,runtime,iterations,objective_evaluations,appeal,diversity,flow,conflict,budget_penalty,duplicate_penalty,headliner_penalty,invalid_artist_penalty,total_cost,budget,budget_usage
random_baseline,42.0,-29.21821796253522,0.006742954254150391,0,1,0.6880060477025034,0.9467083407571019,0.7705844282834948,0.8601377917093536,0.0,0.0,1.0,0.0,668067.0,700000.0,0.9543814285714286
random_baseline,43.0,-14.249554248765834,0.0050318241119384766,0,1,0.6907987370350616,0.8934166815200855,0.7693687898954227,0.8808838256292627,0.0,0.0,0.5,0.0,675999.0,700000.0,0.9657128571428572
random_baseline,44.0,-19.227160432553653,0.005847454071044922,0,1,0.6943407309744168,0.9467083407571019,0.7840344288285302,0.8923247141324491,0.0,0.0,0.6666666666666666,0.0,668487.0,700000.0,0.9549814285714285
random_baseline,45.0,0.6917425675772931,0.005688667297363281,0,1,0.6804501942903886,0.8466562481381764,0.7566290523547968,0.9239314027913417,0.0,0.0,0.0,0.0,649254.0,700000.0,0.9275057142857143
random_baseline,46.0,-14.238146627039164,0.005568504333496094,0,1,0.6905872864078441,0.8934166815204313,0.7715860859510231,0.8626273530674781,0.0,0.0,0.5,0.0,681040.0,700000.0,0.9729142857142857
random_baseline,47.0,-19.3075761699068,0.005135059356689453,0,1,0.6960670567445078,0.8186799193688264,0.7570580389451687,0.9303876768039822,0.0,0.0,0.6666666666666666,0.0,669907.0,700000.0,0.95701
random_baseline,48.0,-29.275996662570424,0.005140542984008789,0,1,0.687929580924304,0.8667708519017501,0.7362342892613185,0.885841451723038,0.0,0.0,1.0,0.0,664396.0,700000.0,0.9491371428571429
random_baseline,49.0,-14.319064873172243,0.004769802093505859,0,1,0.6983691231537051,0.7933645889015057,0.7441034577841572,0.9300181153696633,0.0,0.0,0.5,0.0,677110.0,700000.0,0.9673
random_baseline,50.0,-29.23835485001529,0.005634307861328125,0,1,0.6875300345531237,0.9366510388751419,0.7419088850584821,0.8718632760600287,0.0,0.0,1.0,0.0,653935.0,700000.0,0.9341928571428572
random_baseline,51.0,-29.295046260680248,0.005695343017578125,0,1,0.6867875024352752,0.820010418519841,0.8080290406636005,0.9204110712042305,0.0,0.0,1.0,0.0,655030.0,700000.0,0.9357571428571428
greedy_appeal_baseline,,-18.492746076993523,0.012232542037963867,0,1,0.7414433691398332,0.711539117114417,0.7880644706637373,0.9439931045827884,0.04388285714285714,0.0,0.625,0.0,730718.0,700000.0,1.0438828571428571
simulated_annealing,42.0,0.8731243936109869,5.219591379165649,1000,1001,0.693148293194832,0.9999999999937725,0.7849863157581976,0.7591996571813553,0.0,0.0,0.0,0.0,687302.0,700000.0,0.98186
simulated_annealing,43.0,0.8795508676829022,5.080465793609619,1000,1001,0.6918397491554924,0.9733541703754371,0.7997392082178285,0.7359205201468559,0.0,0.0,0.0,0.0,683866.0,700000.0,0.9769514285714286
simulated_annealing,44.0,0.8922399977712325,5.074716329574585,1000,1001,0.6968693820526868,0.9999999999937725,0.7993916580023382,0.7407448027994413,0.0,0.0,0.0,0.0,688282.0,700000.0,0.98326
simulated_annealing,45.0,0.8767835677892144,5.079650640487671,1000,1001,0.6895878131300935,0.9999999999937725,0.8092916521897672,0.75931956832553,0.0,0.0,0.0,0.0,667104.0,700000.0,0.9530057142857142
simulated_annealing,46.0,0.9047758346051167,5.102953672409058,1000,1001,0.6882945610616997,0.9999999999937725,0.8180485587766322,0.7148888234784696,0.0,0.0,0.0,0.0,682033.0,700000.0,0.9743328571428571
simulated_annealing,47.0,0.8682706438695178,5.173130035400391,1000,1001,0.6846844867637079,0.9999999999937725,0.794232203334889,0.7578058398202762,0.0,0.0,0.0,0.0,668097.0,700000.0,0.9544242857142857
simulated_annealing,48.0,0.8474389566098188,5.104634046554565,1000,1001,0.6893117553125072,0.9999999999937725,0.8288617642213822,0.8175522132776869,0.0,0.0,0.0,0.0,662447.0,700000.0,0.9463528571428571
simulated_annealing,49.0,0.8612387879073373,5.100360870361328,1000,1001,0.6844375013482371,0.9999999999937725,0.8255337425481151,0.7847647270047388,0.0,0.0,0.0,0.0,657650.0,700000.0,0.9395
simulated_annealing,50.0,0.8957640591914147,5.311993598937988,1000,1001,0.6925230714192656,0.9999999999937725,0.8331840345359383,0.7445237043102357,0.0,0.0,0.0,0.0,693990.0,700000.0,0.9914142857142857
simulated_annealing,51.0,0.9058878222188953,5.217115640640259,1000,1001,0.6870976677010349,0.9999999999937725,0.8114305417922094,0.7077316800288526,0.0,0.0,0.0,0.0,674739.0,700000.0,0.9639128571428571
